[1, {'FoodsEaten': 0.4, 'FiringRate': 50.0, 'Energy': 197.77646652167374, 'FindsFood': 0.0, 'TotalMove': 10.578661887061401, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.2, 'FiringRate': 36.0, 'Energy': 198.77404925490038, 'FindsFood': 0.0, 'TotalMove': 10.881853916382084, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 2.8, 'FiringRate': 39.116666666666667, 'Energy': 74.489537960449212, 'FindsFood': -2.1586955325087853, 'TotalMove': 360.25937509570406, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.0, 'FiringRate': nan, 'Energy': 199.55650408243213, 'FindsFood': 0.0, 'TotalMove': 2.0884689070645828, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.4, 'FiringRate': 44.0, 'Energy': 199.00265923949348, 'FindsFood': 0.0, 'TotalMove': 8.4720993988786351, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.0, 'FiringRate': 38.0, 'Energy': 197.25664623845032, 'FindsFood': 0.0, 'TotalMove': 10.490845625584022, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.0, 'FiringRate': 38.0, 'Energy': 197.17668779749016, 'FindsFood': 0.0, 'TotalMove': 9.4840560174027395, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.6, 'FiringRate': 34.0, 'Energy': 199.49870765611786, 'FindsFood': 0.0, 'TotalMove': 10.488338338074456, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.6, 'FiringRate': 46.0, 'Energy': 200.37749956833903, 'FindsFood': 0.0, 'TotalMove': 11.29158850825247, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.8, 'FiringRate': 122.0, 'Energy': 203.38678800994046, 'FindsFood': 0.0, 'TotalMove': 33.459334041600059, 'NetworkDensity': -119.0}]
[1, {'FoodsEaten': 0.2, 'FiringRate': 44.0, 'Energy': 198.56997767325223, 'FindsFood': 0.0, 'TotalMove': 9.436009467201723, 'NetworkDensity': 242.0}]
[1, {'FoodsEaten': 0.2, 'FiringRate': 27.0, 'Energy': 197.70247836692897, 'FindsFood': 0.0, 'TotalMove': 10.380296797373578, 'NetworkDensity': 243.0}]
[1, {'FoodsEaten': 0.6, 'FiringRate': 35.0, 'Energy': 198.28108302985433, 'FindsFood': 0.0, 'TotalMove': 10.150469185771067, 'NetworkDensity': 243.0}]
[1, {'FoodsEaten': 0.2, 'FiringRate': 50.0, 'Energy': 198.24769759836695, 'FindsFood': 0.0, 'TotalMove': 9.6627992202386714, 'NetworkDensity': 260.0}]
[1, {'FoodsEaten': 0.6, 'FiringRate': 45.0, 'Energy': 198.48493433653158, 'FindsFood': 0.0, 'TotalMove': 9.2597505806136464, 'NetworkDensity': 267.0}]
[1, {'FoodsEaten': 0.2, 'FiringRate': 44.0, 'Energy': 199.19274536142126, 'FindsFood': 0.0, 'TotalMove': 11.174534520354644, 'NetworkDensity': 242.0}]
